Genes,GamesPlayed,RelativeFitness,AbsoluteFitness
genes_6_96_22_82_81_50_6_20_79_33_72_78_43_73_71_0_74_58_5_98_27_23_33_90_16_79_70_43_37_98_27_41_28_64_22_28_19_70_1_67_34_32_13_62_33_64_83_47_91_54_41_79_20_54_14_60_38_6_78_12_80_89_93_78_71_39_89_21_87_23_97_100_78_32_34_12_11_80_60_30_28_15_74_40_14_51_21_17_28_4_87_70_92_88_45_80_51_53_12,0,0.0,0.0
genes_14_8_19_57_49_3_97_20_66_39_78_79_66_72_74_85_72_49_10_16_40_23_30_89_12_82_20_28_39_0_27_72_51_61_22_57_52_65_3_68_8_81_34_86_100_61_83_90_92_49_50_74_22_5_10_59_40_16_78_6_93_86_92_78_36_82_60_29_90_21_90_27_78_32_5_10_49_80_48_89_29_17_78_35_14_11_93_15_24_6_100_48_90_97_45_80_53_49_8,0,0.0,0.0
genes_17_96_25_57_81_22_6_20_62_33_71_78_43_93_75_85_88_49_81_16_40_23_32_85_11_80_17_43_38_94_30_26_29_64_22_62_26_64_32_66_66_73_34_46_99_26_38_64_96_54_45_80_20_54_51_42_7_10_74_37_89_89_95_71_44_78_56_8_17_23_90_99_78_32_5_10_49_56_62_87_30_35_78_40_14_35_21_18_24_8_82_71_11_80_45_86_53_38_13,0,0.0,0.0
genes_17_87_23_57_49_22_50_20_62_57_73_71_43_93_75_85_88_49_3_20_40_23_32_90_11_85_68_46_37_94_30_26_66_64_22_62_26_65_37_66_35_73_34_41_99_26_42_64_96_49_40_80_17_13_7_46_45_10_74_37_97_86_92_76_31_94_56_8_17_37_94_32_78_37_1_30_0_56_62_89_28_36_78_38_14_95_21_20_28_9_93_72_95_80_45_86_54_38_13,0,0.0,0.0
genes_62_8_25_82_49_26_66_20_65_33_78_83_67_81_73_85_74_51_8_16_40_11_30_12_14_75_21_21_39_94_32_90_28_61_80_31_48_40_33_68_15_81_31_41_72_68_83_90_89_59_87_43_20_54_6_59_40_6_78_6_93_86_96_74_26_94_59_3_17_42_90_32_81_32_1_34_7_80_49_26_36_12_99_39_14_11_94_15_26_6_73_4_97_94_44_80_59_49_8,0,0.0,0.0
genes_49_8_22_82_84_50_6_20_65_33_78_79_65_85_70_0_85_49_2_16_27_21_25_89_16_80_70_18_39_94_30_44_51_61_22_28_48_70_0_67_34_81_2_41_33_26_83_51_96_54_50_74_22_12_14_41_38_6_78_6_80_88_92_74_32_38_59_0_87_37_97_32_78_35_5_8_11_80_61_30_29_15_78_40_14_6_93_15_28_4_98_72_89_88_48_80_51_53_8,0,0.0,0.0
genes_21_8_21_57_81_50_60_20_62_67_70_78_43_72_96_82_19_56_79_16_27_16_30_62_11_80_73_43_37_94_29_40_81_64_22_61_18_70_7_67_23_81_2_41_100_26_37_90_93_54_34_74_20_54_51_64_40_6_33_37_80_80_95_76_14_94_55_4_82_32_100_38_86_32_1_8_2_85_85_30_28_12_78_33_14_51_90_18_21_9_82_70_95_88_77_80_53_53_99,0,0.0,0.0
genes_14_8_25_82_49_27_66_20_57_33_52_79_48_72_74_85_83_64_8_100_40_11_31_12_12_81_18_23_37_100_27_72_66_62_79_31_45_40_33_66_18_29_30_82_74_26_83_90_89_49_38_74_22_5_10_8_40_15_78_40_99_86_98_77_70_91_89_3_15_21_88_36_78_32_6_35_49_84_48_26_33_12_78_35_14_11_91_17_26_9_98_4_97_90_43_74_54_53_11,0,0.0,0.0
genes_11_86_22_82_49_3_93_20_18_57_72_79_43_72_75_0_41_49_3_20_40_28_32_89_11_85_68_26_37_89_30_72_66_64_79_57_31_65_32_66_13_89_34_41_68_25_39_92_96_49_50_80_20_5_10_42_40_15_79_37_97_86_54_78_32_94_56_29_17_37_90_32_77_34_16_35_0_85_67_89_28_35_78_35_14_95_22_18_25_9_99_72_92_80_45_86_54_38_10,0,0.0,0.0
genes_6_8_19_57_81_50_93_40_62_37_78_78_67_73_71_85_74_58_79_16_40_23_33_62_11_80_19_42_39_94_26_90_28_64_22_61_48_40_5_67_66_81_2_41_100_61_83_90_90_49_34_74_20_7_6_64_40_10_78_37_78_60_95_74_69_82_59_3_82_21_90_32_81_32_1_10_2_80_86_87_29_12_81_39_14_11_93_17_24_6_28_72_89_88_45_86_53_0_8,0,0.0,0.0
