Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_41_88_5_35_1_5_28_66_0_44_73_27_38_74_23_74_25_33_58_84_51_45_46_64_52_48_7_99_67_94_76_97_23_94_38_74_67_71_80_36_15_92_13_35_18_72_83_30_90_43_90_98_92_50_33_79_4_90_26_4_39_22_86_38_16_2_16_45_19_100_52_67_49_28_100_19_22_34_23_56_52_59_44_94_54_22_76_27_33_42_99_86_62_91_70_57_63_31_34,1,0.0,5.0
genes_31_59_68_9_83_23_28_81_88_39_11_19_67_58_21_0_30_31_60_31_80_22_29_92_75_34_28_87_63_77_17_54_28_20_50_58_2_69_49_61_11_87_61_47_29_95_72_8_90_44_66_25_28_36_0_18_73_65_46_8_34_94_45_38_47_53_3_94_29_98_36_69_19_27_27_46_75_58_30_56_77_33_88_67_91_60_55_37_10_91_94_56_69_21_69_25_5_21_97,2,0.0,5.0
genes_15_59_0_6_12_7_29_86_0_67_58_16_28_71_97_71_80_23_10_26_82_50_48_96_54_29_90_69_19_90_71_55_23_61_10_11_28_66_15_96_18_18_100_35_33_6_81_23_66_93_66_9_92_12_80_11_78_90_15_84_96_22_43_33_57_45_84_30_79_100_80_70_19_92_53_46_8_60_35_24_60_78_89_63_76_26_97_100_75_88_85_56_30_52_45_31_10_68_71,1,0.0,5.0
genes_31_13_89_4_13_48_95_74_99_76_92_94_67_71_37_5_63_86_38_67_71_23_27_98_62_32_56_6_91_93_31_24_80_58_95_0_37_37_0_9_25_100_86_39_31_43_82_6_66_90_92_73_94_51_89_78_68_88_58_64_87_45_19_41_20_16_61_45_53_74_80_36_89_24_25_37_72_88_20_41_83_91_65_69_66_42_19_42_67_90_26_91_37_84_8_51_78_34_64,2,0.0,5.0
genes_16_88_69_14_9_3_28_81_88_34_57_46_43_58_22_62_12_31_60_88_80_74_29_92_48_34_8_76_49_90_32_96_23_29_18_8_5_68_64_19_13_83_61_14_29_71_82_98_30_63_66_53_92_36_78_85_73_71_46_100_31_93_40_38_89_36_55_78_8_91_80_67_85_27_23_90_76_90_53_56_77_33_84_67_91_89_76_38_42_91_89_100_69_12_84_40_13_71_62,2,0.0,5.0
genes_32_59_25_9_7_52_78_94_94_67_97_61_34_44_12_63_72_77_58_29_80_29_71_73_48_61_42_83_49_41_27_83_25_49_38_65_27_68_30_12_25_54_81_85_30_74_9_6_97_54_54_66_48_20_10_85_26_72_100_97_29_23_49_41_73_7_5_34_32_95_55_47_85_2_100_39_0_14_32_49_28_53_69_30_59_42_80_23_26_18_77_88_39_84_80_33_7_45_38,2,0.0,5.0
genes_48_81_80_12_1_8_73_40_64_48_74_27_18_73_89_6_25_29_14_67_85_18_22_69_21_33_51_94_96_74_71_40_76_22_38_72_22_41_16_36_15_73_48_64_83_70_21_35_34_58_100_81_56_51_48_52_69_65_58_54_44_93_43_37_51_7_26_45_53_89_72_32_19_31_96_81_5_85_0_55_52_57_85_90_35_42_24_59_50_30_47_39_7_69_71_68_6_0_22,1,0.0,5.0
genes_53_10_32_35_83_80_86_27_1_63_16_21_67_92_48_5_97_45_7_91_73_22_48_97_44_23_91_39_58_68_47_17_76_70_38_8_22_65_80_8_11_87_79_85_58_91_33_25_90_31_70_12_89_14_31_83_77_65_64_98_29_22_40_73_55_20_7_34_78_62_52_64_36_79_98_90_58_99_23_96_5_22_84_94_61_32_95_63_11_91_94_54_35_29_30_40_5_21_97,2,0.0,5.0
genes_26_97_25_9_44_52_78_94_87_63_97_36_34_73_81_4_72_76_13_31_80_84_71_86_17_34_16_96_93_93_27_18_25_49_98_100_27_65_88_56_25_43_83_71_55_77_94_85_18_91_92_66_49_20_55_78_84_26_100_87_42_24_28_80_82_7_13_19_49_8_55_47_67_27_100_24_62_99_20_61_52_56_83_48_58_19_65_23_26_15_89_56_55_52_18_31_39_100_38,1,0.0,5.0
genes_5_97_93_69_44_4_65_79_91_65_94_49_16_58_37_0_72_74_13_69_85_23_22_97_76_20_42_43_66_39_71_39_66_60_95_100_6_38_3_15_14_37_82_51_64_72_65_59_11_56_92_70_28_95_65_83_89_26_66_66_47_94_45_75_21_5_100_86_49_8_36_14_60_73_100_25_8_44_18_52_52_54_96_47_41_63_77_41_22_35_63_36_64_19_82_14_41_70_29,4,0.0,5.0
